,asin,product_title,currency,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,has_variations,is_amazon_choice
0,B0DLHNWHRF,"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",USD,$176.00,$199.99,4.2,549,3,$168.96,True,False
1,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,USD,$39.88,,4.3,747,1,$39.88,False,False
2,B0DYDF22ZT,"Nothing Phone (3a) Smartphone, 6.77&quot; 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, Bluetooth 5.4, IP64 Waterproof, 5000mAh,Dual Nano-SIM, Android 15, 12+256GB Black",USD,$459.99,,4.2,30,4,$450.00,True,False
3,B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,USD,$69.99,,3.7,182,4,$57.99,True,False
4,B09VH9BKHS,Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),USD,$231.85,$255.00,4.2,1941,42,$208.99,True,False
5,B0DNRK51QQ,Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,USD,$199.99,,4.2,1880,2,$193.99,False,False
6,B0F433TGJ6,"REDMAGIC 10 Air 120Hz Gaming Phone, 5G Android Smartphone, 12GB RAM+256GB ROM, 6.8&quot; AMOLED Full Screen 1.5K Resolution, FHD+, Dual-Sim, Unlocked Mobile Phone White",USD,$589.00,,,0,1,$589.00,False,False
7,B0DT1KMCXP,"SAMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7&quot; 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS (25W Fast Charger Bundle, Blue Black)",USD,$163.98,$174.95,3.7,37,9,$162.87,False,False
8,B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),USD,$64.30,$68.44,3.9,3805,10,$60.00,False,False
9,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",USD,$49.99,$59.99,4.3,5710,2,$22.62,False,False
10,B0DT4T8D65,SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7&quot; Dual Sim 50MP Dual Cam (Case Bundle) (Gray),USD,$142.66,,3.8,472,7,$131.47,True,False
11,B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",USD,$72.19,,3.9,1286,14,$59.00,True,False
12,B0CRWKNP7S,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Silver,USD,$109.99,,4.4,166,5,$83.99,False,False
13,B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",USD,$198.00,$249.00,4.1,30282,59,$179.97,True,False
14,B097C3TS3Q,"SAMSUNG Galaxy A42 5G, Factory Unlocked, US Version, 128GB, Black (Renewed)",USD,$113.59,$129.00,4,827,20,$89.00,False,False
15,B0DPQ9Z7DW,"Cheap Mobile Phones, 5.0&quot; IPS Display, Android 9.0, Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked Phones (Reno9pro-Black)",USD,$49.99,,4.1,72,1,$49.99,True,False
